"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","ERR1191866","ERR1191867","ERR1191869"
"pepS","","Aminopeptidase PepS","3","3","1","1","1265","","","","1241","1241","1241","CPJADAKE_00544","EJKBOHLF_01376","MCNKEKOJ_01742"
"rhaS","","HTH-type transcriptional activator RhaS","3","3","1","13","2","","","","860","860","860","CPJADAKE_01925","EJKBOHLF_01773","MCNKEKOJ_01812"
"dapB","","4-hydroxy-tetrahydrodipicolinate reductase","3","3","1","1","831","","","","767","767","767","CPJADAKE_01271","EJKBOHLF_00171","MCNKEKOJ_00167"
"tgt","","Queuine tRNA-ribosyltransferase","3","3","1","9","66","","","","1142","1142","1142","CPJADAKE_01140","EJKBOHLF_01028","MCNKEKOJ_01304"
"pnp","","Polyribonucleotide nucleotidyltransferase","3","3","1","2","7","","","","2213","2213","2213","CPJADAKE_01816","EJKBOHLF_01977","MCNKEKOJ_01371"
"group_1796","","hypothetical protein","3","3","1","3","153","","","","1244","1244","1244","CPJADAKE_01086","EJKBOHLF_00568","MCNKEKOJ_00384"
"hemW","","Heme chaperone HemW","3","3","1","1","399","","","","1130","1130","1130","CPJADAKE_00206","EJKBOHLF_00401","MCNKEKOJ_00301"
"group_1798","","hypothetical protein","3","3","1","5","70","","","","1487","1487","1487","CPJADAKE_00298","EJKBOHLF_01084","MCNKEKOJ_00945"
"prsA","","Foldase protein PrsA","3","3","1","2","102","","","","941","941","941","CPJADAKE_01602","EJKBOHLF_00728","MCNKEKOJ_01622"
"prmA","","Ribosomal protein L11 methyltransferase","3","3","1","1","598","","","","950","953","951","CPJADAKE_01440","EJKBOHLF_01412","MCNKEKOJ_00682"
"clpE","","ATP-dependent Clp protease ATP-binding subunit ClpE","3","3","1","1","497","","","","2258","2258","2258","CPJADAKE_00670","EJKBOHLF_01483","MCNKEKOJ_01654"
"livF","","High-affinity branched-chain amino acid transport ATP-binding protein LivF","3","3","1","6","67","","","","710","710","710","CPJADAKE_00613","EJKBOHLF_01863","MCNKEKOJ_01200"
"group_1802","","hypothetical protein","3","3","1","1","1429","","","","911","911","911","CPJADAKE_00378","EJKBOHLF_01174","MCNKEKOJ_01474"
"recA","","Protein RecA","3","3","1","7","9","","","","1166","1166","1166","CPJADAKE_00954","EJKBOHLF_00640","MCNKEKOJ_00977"
"queA","","S-adenosylmethionine:tRNA ribosyltransferase-isomerase","3","3","1","1","406","","","","1028","1028","1028","CPJADAKE_00199","EJKBOHLF_00408","MCNKEKOJ_00294"
"saeS","","Histidine protein kinase SaeS","3","3","1","1","1419","","","","1052","1052","1052","CPJADAKE_00367","EJKBOHLF_01184","MCNKEKOJ_02020"
"sarA_1","","Oligopeptide-binding protein SarA","3","3","1","1","1188","","","","1982","1982","1982","CPJADAKE_00021","EJKBOHLF_00201","MCNKEKOJ_00828"
"adk","","Adenylate kinase","3","3","1","1","1318","","","","638","638","638","CPJADAKE_00845","EJKBOHLF_00351","MCNKEKOJ_00523"
"arnB","","UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase","3","3","1","8","29","","","","1226","1226","1226","CPJADAKE_01288","EJKBOHLF_01378","MCNKEKOJ_01107"
"group_1809","","Putative TrmH family tRNA/rRNA methyltransferase","3","3","1","7","38","","","","740","740","740","CPJADAKE_00928","EJKBOHLF_00672","MCNKEKOJ_01002"
"lysS","","Lysine--tRNA ligase","3","3","1","4","114","","","","1490","1490","1490","CPJADAKE_00956","EJKBOHLF_00580","MCNKEKOJ_01431"
"trmK","","tRNA (adenine(22)-N(1))-methyltransferase","3","3","1","1","737","","","","677","677","677","CPJADAKE_00703","EJKBOHLF_00126","MCNKEKOJ_00064"
"malX","","Maltose/maltodextrin-binding protein","3","3","1","11","5","","","","1271","1271","1271","CPJADAKE_01998","EJKBOHLF_01146","MCNKEKOJ_01892"
"msbA_1","","Lipid A export ATP-binding/permease protein MsbA","3","3","1","1","1394","","","","1616","1616","1616","CPJADAKE_00423","EJKBOHLF_01443","MCNKEKOJ_00596"
"rluB","","Ribosomal large subunit pseudouridine synthase B","3","3","1","8","65","","","","722","722","722","CPJADAKE_01324","EJKBOHLF_02045","MCNKEKOJ_01141"
"murB","","UDP-N-acetylenolpyruvoylglucosamine reductase","3","3","1","1","381","","","","905","905","905","CPJADAKE_00225","EJKBOHLF_00382","MCNKEKOJ_00319"
"yhdG","","putative amino acid permease YhdG","3","3","1","2","84","","","","1391","1391","1391","CPJADAKE_01619","EJKBOHLF_00746","MCNKEKOJ_01999"
"group_1817","","hypothetical protein","3","3","1","5","13","","","","302","302","302","CPJADAKE_00355","EJKBOHLF_01795","MCNKEKOJ_01759"
"exoA","","Exodeoxyribonuclease","3","3","1","8","38","","","","827","827","827","CPJADAKE_01295","EJKBOHLF_01385","MCNKEKOJ_01114"
"dltD","","Protein DltD","3","3","1","3","155","","","","1268","1268","1268","CPJADAKE_01084","EJKBOHLF_00566","MCNKEKOJ_00382"
"arcC1","","Carbamate kinase 1","3","3","1","3","188","","","","947","947","947","CPJADAKE_01062","EJKBOHLF_00544","MCNKEKOJ_00361"
"deoB","","Phosphopentomutase","3","3","1","1","504","","","","1211","1211","1211","CPJADAKE_00677","EJKBOHLF_01476","MCNKEKOJ_01661"
"cmk","","Cytidylate kinase","3","3","1","1","744","","","","671","671","671","CPJADAKE_00710","EJKBOHLF_00133","MCNKEKOJ_00070"
"rsmG","","Ribosomal RNA small subunit methyltransferase G","3","3","1","5","83","","","","713","713","713","CPJADAKE_00285","EJKBOHLF_01097","MCNKEKOJ_00958"
"ftsK","","DNA translocase FtsK","3","3","1","2","43","","","","2303","2303","2303","CPJADAKE_01193","EJKBOHLF_01288","MCNKEKOJ_01076"
"pacS","","putative copper-transporting ATPase PacS","3","3","1","4","129","","","","2243","2243","2243","CPJADAKE_01951","EJKBOHLF_01919","MCNKEKOJ_01446"
"group_1826","","hypothetical protein","3","3","1","8","7","","","","1967","1967","1967","CPJADAKE_01334","EJKBOHLF_02055","MCNKEKOJ_01151"
"group_1827","","putative AAA domain-containing protein","3","3","1","1","587","","","","1271","1271","1271","CPJADAKE_01449","EJKBOHLF_01420","MCNKEKOJ_00688"
"walK","","Sensor histidine kinase WalK","3","3","1","5","27","","","","1349","1349","1349","CPJADAKE_00341","EJKBOHLF_01191","MCNKEKOJ_00902"
"manZ_2","","PTS system mannose-specific EIID component","3","3","1","1","1225","","","","818","818","818","CPJADAKE_00584","EJKBOHLF_01046","MCNKEKOJ_01352"
"licA_2","","Lichenan-specific phosphotransferase enzyme IIA component","3","3","1","1","566","","","","317","317","317","CPJADAKE_01467","EJKBOHLF_01751","MCNKEKOJ_00705"
"pyrC","","Dihydroorotase","3","3","1","1","221","","","","1268","1268","1268","CPJADAKE_01046","EJKBOHLF_00897","MCNKEKOJ_01789"
"dsbD_2","","Thiol:disulfide interchange protein DsbD","3","3","1","2","86","","","","707","707","707","CPJADAKE_01617","EJKBOHLF_00744","MCNKEKOJ_02001"
"sbnD","","Staphyloferrin B transporter","3","3","1","2","110","","","","1199","1199","1199","CPJADAKE_01594","EJKBOHLF_00720","MCNKEKOJ_01614"
"punA","","Purine nucleoside phosphorylase 1","3","3","1","1","506","","","","809","809","809","CPJADAKE_00679","EJKBOHLF_01474","MCNKEKOJ_01664"
"group_1834","","hypothetical protein","3","3","1","7","28","","","","1331","1331","1331","CPJADAKE_00938","EJKBOHLF_00662","MCNKEKOJ_00993"
"plsC","","1-acyl-sn-glycerol-3-phosphate acyltransferase","3","3","1","1","735","","","","749","749","749","CPJADAKE_00524","EJKBOHLF_00124","MCNKEKOJ_00062"
"group_1836","","hypothetical protein","3","3","1","2","62","","","","872","872","872","CPJADAKE_01214","EJKBOHLF_01957","MCNKEKOJ_01094"
"rplD","","50S ribosomal protein L4","3","3","1","1","1338","","","","623","623","623","CPJADAKE_00825","EJKBOHLF_00331","MCNKEKOJ_00543"
"pyrDB","","Dihydroorotate dehydrogenase B (NAD(+)), catalytic subunit","3","3","1","2","118","","","","938","938","938","CPJADAKE_01555","EJKBOHLF_00712","MCNKEKOJ_01948"
"group_1839","","hypothetical protein","3","3","1","1","914","","","","647","647","647","CPJADAKE_00164","EJKBOHLF_00451","MCNKEKOJ_00249"
"group_184","","hypothetical protein","3","3","1","1","560","","","","446","446","446","CPJADAKE_01473","EJKBOHLF_01746","MCNKEKOJ_00710"
"nagR","","HTH-type transcriptional repressor NagR","3","3","1","1","932","","","","698","698","698","CPJADAKE_00182","EJKBOHLF_00433","MCNKEKOJ_00267"
"liaR","","Transcriptional regulatory protein LiaR","3","3","1","1","1165","","","","632","632","632","CPJADAKE_00041","EJKBOHLF_00222","MCNKEKOJ_00848"
"hpt","","Hypoxanthine-guanine phosphoribosyltransferase","3","3","1","3","57","","","","542","542","542","CPJADAKE_00804","EJKBOHLF_00945","MCNKEKOJ_00483"
"braC","","Leucine-, isoleucine-, valine-, threonine-, and alanine-binding protein","3","3","1","6","63","","","","1160","1160","1160","CPJADAKE_00609","EJKBOHLF_01859","MCNKEKOJ_01204"
"pgl","","6-phosphogluconolactonase","3","3","1","1","883","","","","1013","1013","1013","CPJADAKE_00133","EJKBOHLF_01896","MCNKEKOJ_00217"
"group_1845","","Pyridoxal phosphate homeostasis protein","3","3","1","1","699","","","","671","671","671","CPJADAKE_00490","EJKBOHLF_00089","MCNKEKOJ_00029"
"group_1846","","Putative zinc metalloprotease","3","3","1","1","1278","","","","1259","1259","1259","CPJADAKE_00885","EJKBOHLF_01363","MCNKEKOJ_00490"
"pgsA","","CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase","3","3","1","3","109","","","","545","545","545","CPJADAKE_00772","EJKBOHLF_01541","MCNKEKOJ_00429"
"glnR","","HTH-type transcriptional regulator GlnR","3","3","1","1","1064","","","","356","356","356","CPJADAKE_00122","EJKBOHLF_01335","MCNKEKOJ_01510"
"group_1849","","hypothetical protein","3","3","1","1","642","","","","1883","1883","1883","CPJADAKE_01560","EJKBOHLF_00037","MCNKEKOJ_00637"
"comC","","hypothetical protein","3","3","1","1","559","","","","659","659","659","CPJADAKE_01474","EJKBOHLF_01745","MCNKEKOJ_00711"
"rlmI","","Ribosomal RNA large subunit methyltransferase I","3","3","1","1","371","","","","1163","1163","1163","CPJADAKE_00235","EJKBOHLF_01235","MCNKEKOJ_00329"
"fruA","","PTS system fructose-specific EIIABC component","3","3","1","2","42","","","","1952","1952","1952","CPJADAKE_01192","EJKBOHLF_01289","MCNKEKOJ_01075"
"plsX","","Phosphate acyltransferase","3","3","1","1","989","","","","992","992","992","CPJADAKE_01344","EJKBOHLF_00863","MCNKEKOJ_01261"
"rsmE","","Ribosomal RNA small subunit methyltransferase E","3","3","1","1","599","","","","743","743","743","CPJADAKE_01439","EJKBOHLF_01411","MCNKEKOJ_00681"
"group_1854","","hypothetical protein","3","3","1","1","916","","","","494","494","494","CPJADAKE_00166","EJKBOHLF_00449","MCNKEKOJ_00251"
"group_1855","","Carboxynorspermidine synthase","3","3","1","2","157","","","","1259","1259","1259","CPJADAKE_01521","EJKBOHLF_01569","MCNKEKOJ_01527"
"rnhB","","Ribonuclease HII","3","3","1","1","231","","","","779","779","779","CPJADAKE_01036","EJKBOHLF_00887","MCNKEKOJ_01799"
"ulaA_2","","Ascorbate-specific PTS system EIIC component","3","3","1","3","209","","","","1346","1346","1346","CPJADAKE_01871","EJKBOHLF_01727","MCNKEKOJ_01900"
"oppD","","Oligopeptide transport ATP-binding protein OppD","3","3","1","13","10","","","","1067","1067","1067","CPJADAKE_01935","EJKBOHLF_01784","MCNKEKOJ_01802"
"group_1859","","hypothetical protein","3","3","1","2","39","","","","1109","1109","1109","CPJADAKE_01187","EJKBOHLF_01294","MCNKEKOJ_01070"
"trpF","","N-(5'-phosphoribosyl)anthranilate isomerase","3","3","1","1","554","","","","599","599","599","CPJADAKE_01477","EJKBOHLF_01740","MCNKEKOJ_00716"
"lptB","","Lipopolysaccharide export system ATP-binding protein LptB","3","3","1","6","66","","","","764","764","764","CPJADAKE_00612","EJKBOHLF_01862","MCNKEKOJ_01201"
"metI","","Cystathionine gamma-synthase/O-acetylhomoserine (thiol)-lyase","3","3","1","1","865","","","","1094","1094","1094","CPJADAKE_01238","EJKBOHLF_01954","MCNKEKOJ_00198"
"group_1862","","hypothetical protein","3","3","1","1","673","","","","1337","1337","1337","CPJADAKE_00466","EJKBOHLF_00066","MCNKEKOJ_00005"
"rsmB","","Ribosomal RNA small subunit methyltransferase B","3","3","1","1","631","","","","1313","1313","1313","CPJADAKE_01706","EJKBOHLF_00026","MCNKEKOJ_00648"
"group_1864","","hypothetical protein","3","3","1","4","130","","","","347","347","347","CPJADAKE_01953","EJKBOHLF_01921","MCNKEKOJ_01448"
"kdgR","","HTH-type transcriptional regulator KdgR","3","3","1","1","1222","","","","1001","1001","1001","CPJADAKE_00587","EJKBOHLF_01049","MCNKEKOJ_01349"
"lacC_1","","Tagatose-6-phosphate kinase","3","3","1","2","41","","","","911","911","911","CPJADAKE_01191","EJKBOHLF_01290","MCNKEKOJ_01074"
"ycjO","","Inner membrane ABC transporter permease protein YcjO","3","3","1","1","674","","","","884","884","884","CPJADAKE_00467","EJKBOHLF_00067","MCNKEKOJ_00006"
"ecfA1","","Energy-coupling factor transporter ATP-binding protein EcfA1","3","3","1","3","110","","","","827","827","827","CPJADAKE_00771","EJKBOHLF_01542","MCNKEKOJ_00428"
"yccU","","putative protein YccU","3","3","1","1","993","","","","437","437","437","CPJADAKE_01340","EJKBOHLF_02088","MCNKEKOJ_01854"
"pepA_2","","Glutamyl aminopeptidase","3","3","1","4","43","","","","1037","1037","1037","CPJADAKE_01508","EJKBOHLF_00759","MCNKEKOJ_01551"
"ydjF","","putative HTH-type transcriptional regulator YdjF","3","3","1","1","1295","","","","746","746","746","CPJADAKE_00868","EJKBOHLF_00368","MCNKEKOJ_00506"
"group_1871","","hypothetical protein","3","3","1","4","23","","","","1328","1328","1328","CPJADAKE_01486","EJKBOHLF_00780","MCNKEKOJ_01572"
"group_1872","","hypothetical protein","3","3","1","1","396","","","","617","617","617","CPJADAKE_00209","EJKBOHLF_00398","MCNKEKOJ_00304"
"group_1873","","hypothetical protein","3","3","1","2","89","","","","1763","1763","1763","CPJADAKE_01614","EJKBOHLF_00741","MCNKEKOJ_01635"
"uvrA","","UvrABC system protein A","3","3","1","1","1356","","","","2831","2831","2831","CPJADAKE_00807","EJKBOHLF_00312","MCNKEKOJ_00561"
"dacA","","D-alanyl-D-alanine carboxypeptidase DacA","3","3","1","2","38","","","","1241","1241","1241","CPJADAKE_01186","EJKBOHLF_01295","MCNKEKOJ_01069"
"lpd","","Dihydrolipoyl dehydrogenase","3","3","1","1","227","","","","1703","1703","1703","CPJADAKE_01040","EJKBOHLF_00891","MCNKEKOJ_01795"
"mnmA","","tRNA-specific 2-thiouridylase MnmA","3","3","1","1","1456","","","","1121","1121","1121","CPJADAKE_00408","EJKBOHLF_01458","MCNKEKOJ_00612"
"clcA","","H(+)/Cl(-) exchange transporter ClcA","3","3","1","1","230","","","","1550","1550","1550","CPJADAKE_01037","EJKBOHLF_00888","MCNKEKOJ_01798"
"dnaC","","Replicative DNA helicase","3","3","1","3","125","","","","1352","1352","1352","CPJADAKE_00756","EJKBOHLF_01586","MCNKEKOJ_00411"
"group_188","","hypothetical protein","3","3","1","1","341","","","","143","233","190","CPJADAKE_01659","EJKBOHLF_00521","MCNKEKOJ_01930"
"nadK","","NAD kinase","3","3","1","1","185","","","","818","818","818","CPJADAKE_01389","EJKBOHLF_00802","MCNKEKOJ_01911"
"fus","","Elongation factor G","3","3","1","1","1270","","","","2081","2081","2081","CPJADAKE_00539","EJKBOHLF_01371","MCNKEKOJ_01979"
"group_1882","","hypothetical protein","3","3","1","1","1045","","","","1049","1049","1049","CPJADAKE_01798","EJKBOHLF_01515","MCNKEKOJ_01590"
"licT_2","","Transcription antiterminator LicT","3","3","1","6","48","","","","836","836","836","CPJADAKE_01912","EJKBOHLF_01810","MCNKEKOJ_01825"
"rsmA","","Ribosomal RNA small subunit methyltransferase A","3","3","1","7","73","","","","872","872","872","CPJADAKE_00917","EJKBOHLF_00683","MCNKEKOJ_01013"
"group_1885","","hypothetical protein","3","3","1","1","1229","","","","434","434","434","CPJADAKE_00580","EJKBOHLF_01672","MCNKEKOJ_01356"
"ackA","","Acetate kinase","3","3","1","9","28","","","","1190","1190","1190","CPJADAKE_01124","EJKBOHLF_01013","MCNKEKOJ_01290"
"group_1887","","hypothetical protein","3","3","1","1","1358","","","","683","683","683","CPJADAKE_00460","EJKBOHLF_00310","MCNKEKOJ_00563"
"yknZ","","putative ABC transporter permease YknZ","3","3","1","6","99","","","","1259","1259","1259","CPJADAKE_00645","EJKBOHLF_01267","MCNKEKOJ_01169"
"group_1889","","hypothetical protein","3","3","1","3","216","","","","1247","1247","1247","CPJADAKE_01865","EJKBOHLF_01720","MCNKEKOJ_01962"
"group_189","","hypothetical protein","3","3","1","1","339","","","","221","299","248","CPJADAKE_01680","EJKBOHLF_00519","MCNKEKOJ_01924"
"pncB2","","Nicotinate phosphoribosyltransferase pncB2","3","3","1","1","411","","","","1460","1460","1460","CPJADAKE_00194","EJKBOHLF_00413","MCNKEKOJ_00289"
"tcyB","","L-cystine transport system permease protein TcyB","3","3","1","4","111","","","","380","380","380","CPJADAKE_00959","EJKBOHLF_00583","MCNKEKOJ_01428"
"celA","","PTS system cellobiose-specific EIIB component","3","3","1","9","9","","","","308","308","308","CPJADAKE_01105","EJKBOHLF_02041","MCNKEKOJ_01271"
"group_1893","","dITP/XTP pyrophosphatase","3","3","1","8","71","","","","971","971","971","CPJADAKE_01330","EJKBOHLF_02051","MCNKEKOJ_01147"
"dgkA","","Undecaprenol kinase","3","3","1","2","114","","","","395","395","395","CPJADAKE_01590","EJKBOHLF_00716","MCNKEKOJ_01610"
"dnaJ","","Chaperone protein DnaJ","3","3","1","1","1049","","","","1136","1136","1136","CPJADAKE_01802","EJKBOHLF_01519","MCNKEKOJ_01594"
"group_1896","","putative protein","3","3","1","1","1114","","","","1667","1667","1667","CPJADAKE_00083","EJKBOHLF_00271","MCNKEKOJ_00890"
"divIVA","","Cell division protein DivIVA","3","3","1","1","703","","","","788","788","788","CPJADAKE_00494","EJKBOHLF_00093","MCNKEKOJ_00033"
"iscS_2","","Cysteine desulfurase IscS","3","3","1","1","181","","","","1115","1115","1115","CPJADAKE_01393","EJKBOHLF_00798","MCNKEKOJ_01915"
"thrB","","Homoserine kinase","3","3","1","1","352","","","","869","869","869","CPJADAKE_00253","EJKBOHLF_01217","MCNKEKOJ_00347"
"queF","","NADPH-dependent 7-cyano-7-deazaguanine reductase","3","3","1","1","606","","","","395","533","487","CPJADAKE_01681","EJKBOHLF_00001","MCNKEKOJ_00674"
"mutX","","8-oxo-dGTP diphosphatase","3","3","1","1","220","","","","464","464","464","CPJADAKE_01047","EJKBOHLF_00898","MCNKEKOJ_01788"
"pepX","","Xaa-Pro dipeptidyl-peptidase","3","3","1","2","58","","","","2273","2273","2273","CPJADAKE_01210","EJKBOHLF_01986","MCNKEKOJ_01090"
"priA","","Primosomal protein N'","3","3","1","1","629","","","","2396","2396","2396","CPJADAKE_01704","EJKBOHLF_00024","MCNKEKOJ_00650"
"group_1906","","hypothetical protein","3","3","1","4","21","","","","1379","1379","1379","CPJADAKE_01484","EJKBOHLF_00782","MCNKEKOJ_01574"
"glyQ","","Glycine--tRNA ligase alpha subunit","3","3","1","1","905","","","","917","917","917","CPJADAKE_00155","EJKBOHLF_00460","MCNKEKOJ_00240"
"yhaP","","putative protein YhaP","3","3","1","1","646","","","","1199","1199","1199","CPJADAKE_01564","EJKBOHLF_00041","MCNKEKOJ_00633"
"fcl","","GDP-L-fucose synthase","3","3","1","1","1434","","","","1850","1850","1850","CPJADAKE_00383","EJKBOHLF_01169","MCNKEKOJ_01469"
"group_191","","hypothetical protein","3","3","1","1","619","","","","593","593","593","CPJADAKE_01694","EJKBOHLF_00014","MCNKEKOJ_00661"
"pepC","","Aminopeptidase C","3","3","1","1","1262","","","","1334","1334","1334","CPJADAKE_00547","EJKBOHLF_01595","MCNKEKOJ_01739"
"yclO","","Petrobactin import system permease protein YclO","3","3","1","8","61","","","","956","956","956","CPJADAKE_01320","EJKBOHLF_02116","MCNKEKOJ_01137"
"rsmF","","Ribosomal RNA small subunit methyltransferase F","3","3","1","1","392","","","","1304","1304","1304","CPJADAKE_00213","EJKBOHLF_00394","MCNKEKOJ_00308"
"yugI","","General stress protein 13","3","3","1","1","852","","","","359","359","359","CPJADAKE_01250","EJKBOHLF_00192","MCNKEKOJ_00186"
"ypuA","","putative protein YpuA","3","3","1","1","82","","","","974","974","974","CPJADAKE_01628","EJKBOHLF_00926","MCNKEKOJ_00802"
"trmR","","tRNA 5-hydroxyuridine methyltransferase","3","3","1","2","103","","","","713","713","713","CPJADAKE_01601","EJKBOHLF_00727","MCNKEKOJ_01621"
"group_1916","","hypothetical protein","3","3","1","1","1442","","","","2108","2108","2108","CPJADAKE_00390","EJKBOHLF_01162","MCNKEKOJ_01462"
"group_1917","","hypothetical protein","3","3","1","3","159","","","","1505","1505","1505","CPJADAKE_01080","EJKBOHLF_00562","MCNKEKOJ_00378"
"upp","","Uracil phosphoribosyltransferase","3","3","1","6","60","","","","629","629","629","CPJADAKE_00606","EJKBOHLF_01856","MCNKEKOJ_01207"
"ftsL","","Cell division protein FtsL","3","3","1","1","1215","","","","317","317","317","CPJADAKE_00593","EJKBOHLF_01055","MCNKEKOJ_01343"
"group_192","","hypothetical protein","3","3","1","2","205","","","","560","560","560","CPJADAKE_01716","EJKBOHLF_01498","MCNKEKOJ_01390"
"nagB","","Glucosamine-6-phosphate deaminase","3","3","1","1","405","","","","707","707","707","CPJADAKE_00200","EJKBOHLF_00407","MCNKEKOJ_00295"
"group_1921","","hypothetical protein","3","3","1","1","1310","","","","1337","1337","1337","CPJADAKE_00853","EJKBOHLF_00359","MCNKEKOJ_00515"
"group_1922","","hypothetical protein","3","3","1","3","207","","","","2030","2030","2030","CPJADAKE_01873","EJKBOHLF_01729","MCNKEKOJ_01902"
"group_1923","","DegV domain-containing protein","3","3","1","1","830","","","","848","848","848","CPJADAKE_01272","EJKBOHLF_00170","MCNKEKOJ_00166"
"aguA","","Agmatine deiminase","3","3","1","2","155","","","","1085","1085","1085","CPJADAKE_01523","EJKBOHLF_01567","MCNKEKOJ_01529"
"hom","","Homoserine dehydrogenase","3","3","1","1","353","","","","1286","1286","1286","CPJADAKE_00252","EJKBOHLF_01218","MCNKEKOJ_00346"
"clpC_2","","ATP-dependent Clp protease ATP-binding subunit ClpC","3","3","1","3","134","","","","2432","2432","2432","CPJADAKE_00748","EJKBOHLF_01578","MCNKEKOJ_00403"
"rpe","","Ribulose-phosphate 3-epimerase","3","3","1","7","75","","","","656","656","656","CPJADAKE_00919","EJKBOHLF_00681","MCNKEKOJ_01011"
"glgX_1","","Glycogen debranching enzyme","3","3","1","1","201","","","","2279","2279","2279","CPJADAKE_01020","EJKBOHLF_00818","MCNKEKOJ_01645"
"lepA","","Elongation factor 4","3","3","1","5","4","","","","1823","1823","1823","CPJADAKE_00364","EJKBOHLF_01804","MCNKEKOJ_01768"
"group_193","","hypothetical protein","3","3","1","11","11","","","","302","509","429","CPJADAKE_01740","EJKBOHLF_01120","MCNKEKOJ_01727"
"acpS","","Holo-[acyl-carrier-protein] synthase","3","3","1","1","665","","","","368","368","368","CPJADAKE_01583","EJKBOHLF_00059","MCNKEKOJ_00615"
"lagD_1","","Lactococcin-G-processing and transport ATP-binding protein LagD","3","3","1","1","979","","","","2153","2153","2153","CPJADAKE_01349","EJKBOHLF_00858","MCNKEKOJ_01251"
"pox5","","Pyruvate oxidase","3","3","1","4","131","","","","1775","1775","1775","CPJADAKE_01952","EJKBOHLF_01920","MCNKEKOJ_01447"
"yxdL","","ABC transporter ATP-binding protein YxdL","3","3","1","4","97","","","","641","641","641","CPJADAKE_00972","EJKBOHLF_00598","MCNKEKOJ_01414"
"polC","","DNA polymerase III PolC-type","3","3","1","1","1269","","","","4391","4391","4391","CPJADAKE_00540","EJKBOHLF_01372","MCNKEKOJ_01746"
"hmpT","","Thiamine precursor transporter HmpT","3","3","1","1","750","","","","461","461","461","CPJADAKE_00716","EJKBOHLF_00139","MCNKEKOJ_00076"
"group_1936","","Tyrosine recombinase XerD-like protein","3","3","1","8","68","","","","734","734","734","CPJADAKE_01327","EJKBOHLF_02048","MCNKEKOJ_01144"
"arcB","","Ornithine carbamoyltransferase, catabolic","3","3","1","3","189","","","","1016","1016","1016","CPJADAKE_01061","EJKBOHLF_00543","MCNKEKOJ_00360"
"lplJ","","Lipoate-protein ligase LplJ","3","3","1","1","228","","","","989","989","989","CPJADAKE_01039","EJKBOHLF_00890","MCNKEKOJ_01796"
"yxeN","","putative amino-acid permease protein YxeN","3","3","1","1","919","","","","800","800","800","CPJADAKE_00169","EJKBOHLF_00446","MCNKEKOJ_00254"
"group_194","","hypothetical protein","3","3","1","1","481","","","","935","7826","5068","CPJADAKE_01783","EJKBOHLF_02180","MCNKEKOJ_00155"
"group_1940","","hypothetical protein","3","3","1","1","398","","","","737","737","737","CPJADAKE_00207","EJKBOHLF_00400","MCNKEKOJ_00302"
"dltA","","D-alanine--D-alanyl carrier protein ligase","3","3","1","3","152","","","","1550","1550","1550","CPJADAKE_01087","EJKBOHLF_00569","MCNKEKOJ_00385"
"fabZ","","3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ","3","3","1","1","1130","","","","422","422","422","CPJADAKE_00066","EJKBOHLF_00256","MCNKEKOJ_00875"
"group_1943","","hypothetical protein","3","3","1","2","105","","","","953","953","953","CPJADAKE_01599","EJKBOHLF_00725","MCNKEKOJ_01619"
"group_1944","","hypothetical protein","3","3","1","4","105","","","","752","752","752","CPJADAKE_00965","EJKBOHLF_00590","MCNKEKOJ_01421"
"group_1945","","hypothetical protein","3","3","1","2","211","","","","803","803","803","CPJADAKE_01711","EJKBOHLF_01493","MCNKEKOJ_01386"
"ccpA_1","","Catabolite control protein A","3","3","1","7","52","","","","1010","1010","1010","CPJADAKE_00902","EJKBOHLF_02070","MCNKEKOJ_01030"
"nanB_1","","Sialidase B","3","3","1","1","676","","","","2093","2093","2093","CPJADAKE_00469","EJKBOHLF_00069","MCNKEKOJ_00008"
"lacF_3","","PTS system lactose-specific EIIA component","3","3","1","6","47","","","","317","317","317","CPJADAKE_01913","EJKBOHLF_01811","MCNKEKOJ_01824"
"polA","","DNA polymerase I","3","3","1","1","994","","","","2669","2669","2669","CPJADAKE_01339","EJKBOHLF_02087","MCNKEKOJ_01855"
"lagD_2","","hypothetical protein","3","3","1","1","1033","","","","587","683","619","CPJADAKE_01790","EJKBOHLF_01507","MCNKEKOJ_01582"
"tsaE","","tRNA threonylcarbamoyladenosine biosynthesis protein TsaE","3","3","1","7","13","","","","443","443","443","CPJADAKE_00950","EJKBOHLF_00644","MCNKEKOJ_00981"
"group_1951","","hypothetical protein","3","3","1","1","80","","","","974","974","974","CPJADAKE_01630","EJKBOHLF_00924","MCNKEKOJ_00804"
"hpdA","","4-hydroxyphenylacetate decarboxylase activating enzyme","3","3","1","1","1298","","","","776","776","776","CPJADAKE_00867","EJKBOHLF_00367","MCNKEKOJ_00507"
"pepT","","Peptidase T","3","3","1","1","64","","","","1223","1223","1223","CPJADAKE_01647","EJKBOHLF_00908","MCNKEKOJ_00820"
"ycjP","","Inner membrane ABC transporter permease protein YcjP","3","3","1","1","675","","","","833","833","833","CPJADAKE_00468","EJKBOHLF_00068","MCNKEKOJ_00007"
